index,name,synopsis,netflix,tiving
15,슬기로운 감빵생활,"메이저리그 대신 감옥으로 직행한 슈퍼스타. 판이 바뀌고 룰이 바뀐 막다른 골목, 감빵에서 살아남을 방법은 단 한 가지. 그저 배워라! 하나에서 열까지.",1,0
16,아스달 연대기,"그곳에서 모든 것이 시작됐다. 태고의 땅 아스. 권력을 향한 욕망, 새로운 사회에 대한 열망, 그리고 가슴 뛰는 사랑을 위해 치열하게 살아간 사람들이 있었다.",1,0
17,도깨비,"신부를 찾아야 죽을 수 있는 남자. 불멸의 고통에 힘겹던 어느 날, 신부라고 주장하는 여학생이 나타났다. 대책 없이 그를 소환하고 대책 없이 삶에 파고드는 소녀. 정녕 신부를 만난 것이냐. 그럼 이제 소멸할 수 있는 것이냐.",1,0
18,안녕? 나야!,"내 앞에 내가 나타난다. 어릴 적의 내가. 지금의 나와는 다른, 뜨겁고 반짝이는 내가! 빛이라곤 없던 어둡고 외로운 일상이 밝고 따뜻해지려 한다. 나 이렇게 달라져도 돼?",1,0
19,호텔 델루나,"서울 도심에 수상한 호텔이 있다. 천년 영업에 숙박한 사람이 없다. 왜? 산 사람은 안 받으니까. 귀신만 묵는 그곳에 인간 지배인이 왔다. 알고 보면 심약한 이 남자, 고객 응대 잘 해낼까? 외모와 달리 괴팍한 사장은 어찌 감당하누.",1,0
20,최강 배달꾼,"신속! 정확! 배달 왔어요~ 비록 흙수저여도 배짱은 금수저 못지않은 두 청춘. 부조리한 사회에 맞서 철가방 들고 싸운다. 좌절 금지, 포기 금지! 우리에겐 희망이 있으니까.",1,0
21,힘쎈 여자 도봉순,선천적으로 놀라운 괴력을 타고난 봉순. 불의에 맞서고 정의를 위해 싸우는 이 의리녀에게 얽히고설킨 삼각관계가 벌어진다. 봉순은 정의도 지키고 사랑도 지킬 수 있을까.,1,0
22,(아는 건 별로 없지만) 가족입니다,세월이 흐르는 사이 서로 멀어진 가족. 각자 인생에서 마주치는 장애물과 씨름하며 식구들과의 관계도 회복하기 위해 노력한다.,1,0
23,도도솔솔라라솔,"무일푼이 됐지만, 세상은 여전히 아름다워. 자체 발광 피아니스트가 시골로 향한다. 반짝반짝한 새 삶을 시작해 보자. 희망을 잃지 않는 사람에게 사랑도 찾아오는 법!",1,0
24,봄밤,"알 수 없는 이끌림과 묘한 떨림. 이게 다 봄바람 때문일까? 정인과 지호가 마주치고, 그들의 평온한 일상이 흔들린다. 진정한 사랑을 깨닫는 시간, 봄밤이 왔다.",1,0
25,무법변호사,"주먹계에서 법조계로 유턴한 열혈 변호사, 봉상필. 과거 어머니의 죽음을 밝히려 고향으로 돌아간 그는 도시의 절대 악을 소탕하기 위한 싸움을 시작한다. 너희들, 꼼짝 말고 기다려!",1,0
26,더 킹: 영원의 군주,"익숙하고 낯설다. 이곳은 어디고 당신은 누구인가. 평행 세계의 문을 통과한 대한제국 황제. 당황한 그가 강단 있는 형사와 마주친다. 우리, 전에도 만난 적 있지 않나?",1,0
27,달의 연인 - 보보경심 려,"1,000년을 거슬러 고려 시대로 시간 여행을 하게 된 21세기 여인. 궁중의 암투에 휘말리고 여러 황자들의 사랑을 한몸에 받게 된다.",1,0
28,내일,"사고로 반은 인간, 반은 영혼이 된 남자. 저승사자가 운영하는 지하세계 회사에 채용되고, 특별한 임무를 수행하러 나선다.",1,0
29,배가본드,"비행기가 추락했고, 그의 하늘도 무너졌다. 하루아침에 사랑하는 조카를 잃은 스턴트맨 차달건. 사고 뒤에 숨은 진실을 쫓던 그는 국정원 블랙 요원 고해리를 만나게 된다.",1,0
30,또! 오해영,"이름만 달랐어도 인생이 좀 더 나아졌을까? 학창 시절, 예쁘고 잘난 동명이인 때문에 온갖 수난을 겪으며 살아온 여자 오해영. 이제는 만날 일 없다고 생각했지만 웬걸. 다시 나타난 예쁜 그녀가 해영의 삶을 또 한 번 망쳐놓을 줄이야!",1,0
31,블랙독,"사립고등학교에 부임한 신입 기간제 교사. 정치 싸움이 난무하는 학교에서, 학생들의 꿈을 지켜주고 싶은 마음 따뜻한 선생님의 외로운 싸움이 시작된다.",1,0
32,화양연화 - 삶이 꽃이 되는 순간,"가슴 벅찬 첫사랑이었다. 오랜 시간이 지나도 바래지 않을 것 같은 눈부신 사랑이었다. 20년이 넘는 세월을 건너 그 남자와 그 여자가 우연히 재회한다. 모든 것이 변해 버린 지금, 아름다웠던 그 시절처럼 다시 사랑할 수 있을까.",1,0
33,블랙,"죽음을 예견하는 여자, 인간의 몸에 빙의한 저승사자. 한 명은 죽음을 막고 다른 한 명은 죽음을 지킨다. 두 사람의 아이러니한 동행에서 이어지는 예측 불가 미스터리.",1,0
34,구필수는 없다,어쩌다 미스터리한 사채업자의 집에서 살게 된 청년 사업가. 그곳에서 함께 생활하는 중년 가장과 티격태격하며 우정을 나눈다.,1,0
35,라이프,"환자를 생각하는 응급의료센터 전문의, 숫자를 먼저 보는 대학병원 신임 사장. 그들의 신념이 부딪친다. 생사가 오가는 병원, 두 남자는 그곳에 어떤 파문을 일으킬까.",1,0
36,무브 투 헤븐: 나는 유품정리사입니다,유품에는 생전의 삶이 깃들어 있다. 작은 흔적도 세심히 챙기는 유품정리사. 그에게 있는 줄도 몰랐던 삼촌이 나타난다. 함께 일하기 시작하는 두 사람. 고인이 못다 한 이야기를 전해드립니다!,1,0
37,김비서가 왜 그럴까,진심 아니지? 날 보필할 특권을 포기할 리 없잖아. 자기애로 똘똘 뭉친 부회장 영준. 9년간 완벽하게 일해 온 김비서가 그만둔단 말을 믿을 수 없다. 초특급 대우에 갖은 수를 다 쓰지만 안 통한다. 그렇다면 최후의 수단을 쓸 수밖에.,1,0
38,하이에나,"머리 쓰는 법정 다툼? 먹고 먹히는 생존 싸움! 처절한 전쟁에서 살아남으려는 두 라이벌 변호사. 상류층 고객의 만족, 불타는 야망의 성취를 위해서라면, 뭔들 못 하겠어?",1,0
39,18 어게인,"이번 생은 망했다고 생각한 순간 기회가 찾아왔다. 이혼 직전, 열여덟 살로 돌아간 홍대영. 지금부턴 무능한 남편 대신 꿈 많은 소년으로 살아가련다. 18년 전 그때처럼.",1,0
40,그린마더스클럽,"초등학생 학부모 커뮤니티의 다섯 엄마들. 경쟁적인 분위기 속에 질투심과 비밀들이 얽히고설키는데. 때로는 적을 가까이하기도, 서로 더 가까워지기도 하며 각자의 삶을 헤쳐 나간다.",1,0
41,부부의 세계,"일과 가정 모두 놓치지 않는 그녀. 다정한 이웃과 친구까지 있어 더없이 행복하다. 그러나 그녀의 세계를 비로소 완성하는 건, 세월에도 변함없는 남편의 사랑. 그러니 그 사랑이 흔들린다는 건, 완벽한 세계에 균열이 생겼다는 것.",1,0
42,공작도시,막강한 재벌가 아들의 아내. 어떻게든 남편을 대한민국의 대통령으로 만들겠다는 야망에 불탄다. 이 야망을 실현하기 위해서라면 그 어떤 일도 마다하지 않을 것이다.,1,0
43,사생활,"정신 바짝 차려라. 그 누구도 믿을 수 없다. 사생활 공유의 시대, 훔치고 조작하는 데 능한 사기꾼들이 어쩌다 거대한 전쟁에 뛰어든다. 국가의 사생활을 밝혀내기 위해서.",1,0
44,바람과 구름과 비,"관상을 읽는 옛 명문가의 자제. 앞날을 내다보는 왕의 딸. 신묘한 능력의 두 남녀가 만나 천하를 도모할 계획을 세운다. 목표는 오직 하나. 썩어 빠진 조선을 청산하고, 새로운 태평천국을 세워라.",1,0
45,라켓소년단,"해체 위기의 시골 중학교 배드민턴부를 되살려라! 개성 강한 학생 선수들을 맡게 되는 새로운 코치, 그런 아버지를 따라 전학 오는 도시 소년. 이곳에 희망이 있을까, 여기서 꿈이 이루어질까?",1,0
46,괴물,서울 근교 마을. 20년 전의 강력 사건이 미제로 묻힌 곳. 그런데 유사 사건이 터지며 마을이 술렁인다. 괴물이 깨어난 걸까. 각자의 이유로 사건에 얽힌 두 경찰이 위험한 사냥에 뛰어든다.,1,0
47,고요의 바다,각계 전문가들이 한 팀이 되어 달 탐사선에 오른다. 임무는 폐쇄된 연구기지에서 24시간 안에 중요 샘플을 회수하는 것. 대원들은 비밀에 잠긴 이 위험천만한 기밀 미션을 완수할 수 있을까.,1,0
48,결혼작사 이혼작곡,라디오 프로그램을 만드는 세 여자. 사랑과 성공을 누리던 그들의 모든 것이 무너지려 한다. 행복한 결혼 생활은 허상에 불과했을까. 충격과 반전이 그들의 삶을 뒤흔든다.,1,0
49,"하이바이, 마마!",사고로 가족의 곁을 떠나게 된 차유리가 사별의 아픔을 딛고 새 인생을 시작한 남편 조강화와 딸아이 앞에 다시 나타나면서 벌어지는 고스트 엄마의 49일 리얼 환생 스토리,1,0
50,사이코지만 괜찮아,"사랑 따위, 못 느끼면 어때. 태어날 때부터 온기가 없는 동화 작가. 그녀가 사랑을 외면하는 정신 병동 보호사와 마주친다. 이상하지만 꽤 괜찮은, 힐링 로맨틱 코미디.",1,0
51,밥?잘?사주는?예쁜?누나,"일 잘하고 싹싹한 30대 커리어 우먼 진아. 하지만 공허한 마음 달랠 길이 없다. 그래서일까? 그냥 아는 사이였는데, 친구 동생일 뿐인데, 그 녀석이 갑자기 다르게 보인다.",1,0
52,초콜릿,"따뜻한 위로 같은 사랑이 찾아왔다. 상처를 지닌 두 남녀, 이강과 문차영. 어린 시절의 짧은 인연 뒤, 의사와 셰프가 된 그들은 호스피스 병동에서 운명적으로 재회한다.",1,0
53,"선배, 그 립스틱 바르지 마요","직장 선배에게 첫눈에 반한 화장품 회사 신입사원. 고백할 기회만 보고 있었는데 이게 웬걸. 선배가 몰래 사내 연애를 하고 있다! 상대는 회사에서 승승장구하는 넘사벽 능력자. 가망 없는 짝사랑, 이쯤에서 접어야 하나?",1,0
54,불가살,저주받은 몸으로 태어나 불사의 존재가 된 남자. 이제 600년간 이어진 복수의 여정을 끝내고 자신의 영혼을 되찾으려 한다.,1,0
55,스타트업,"꿈을 현실로, 불가능을 가능으로! 아이디어 있겠다, 기술 있겠다. 못 할 것도 없지. 치열한 스타트업의 세계에 뛰어드는 젊은 창업자들. 성공도 사랑도 쟁취하고야 만다!",1,0
56,눈이 부시게,"살짝 예스러운 이름에 지극히 평범한 스펙, 그래도 꿈만은 야무진 25세 처자. 그녀에게 특별한 점이 있다면 신비한 시계가 있다는 정도? 비극적인 사건 이후 시간을 되돌린 그녀에게 날벼락 같은 현실이 찾아온다. 내가 70대 할머니라니.",1,0
57,품위있는 그녀,"욕망의 끝은 어디일까. 이미 상류 사회에 속한 사람, 그곳에 입성하기 위해 발버둥 치는 사람. 그 가운데 두 여인의 삶이 있다. 욕망이란 독배를 마신 군상들의 이야기.",1,0
58,마음의 소리,최장수 인기 개그 웹툰 《마음의 소리》를 원작으로 한 시트콤. 웹툰 작가 조석과 그의 괴짜 가족의 상상 이하 + 어드벤처 + 요절복통 일상이 펼쳐진다.,1,0
59,도시남녀의 사랑법,"자유로운 영혼을 지닌 그녀. 그녀에게 마음을 뺏긴 건축가. 한여름 꿈같았던 로맨스는 다시 시작될 수 있을까. 서울의 거리에서, 열정 넘치는 그 남자가 사랑을 찾고 있다.",1,0
60,너는 나의 봄,"어린 시절의 상처를 간직한 호텔 컨시어지 매니저와 정신과 의사. 그들이 살아가는 곳에서 미궁의 살인 사건이 일어난다. 그 어둠에 맞서 진심을 나누며, 그들은 따뜻한 봄을 만날 수 있을까.",1,0
61,우아한 친구들,"대학에서 만나 20년 우정을 이어가는 다섯 남자. 40대 가장이자 사회인으로 평온한 일상을 살던 어느 날, 살인사건에 연루된다. 이를 계기로 묘하게 맞물리는 과거와 현재. 가까운 사이여서 더욱 몰랐던 추악한 비밀이 하나둘 밝혀진다.",1,0
62,으라차차 와이키키,"영화감독, 배우, 작가를 꿈꾸는 세 청년. 직접 만들 영화의 제작비를 벌겠다며 게스트하우스를 냈지만 현실은 망한 거나 다름없고, 하는 일 족족 폭망 냄새가 솔솔 나니 어쩔? 역대급 웃음 폭탄으로 무장한 청춘들의 이야기, 스타트!",1,0
63,별에서 온 그대,"조선 땅에 떨어진 뒤로 400년 넘게 인간 남자 행세를 해온 외계인. 대학 강사로 일하는 지금, 드디어 고향에 돌아갈 수 있게 됐건만, 옆집에 사는 한류 스타와 사랑에 빠져버린다. 종족도, 성격도 딴판인 두 남녀의 달콤 발랄 로맨스.",1,0
64,안나라수마나라,버려진 유원지에 사는 마술사. 힘겨운 현실 속에서 너무 빨리 어른이 돼버린 고등학생에게 마법 같은 위로를 건넨다. 절망적인 현실이 사라지고 희망이 다시 샘솟는 특별한 마술이 시작된다.,1,0
65,마인,"부유하고 화려한 재벌가의 두 여인. 그들은 찾고 싶다. 진짜 나의 것을. 세상의 편견에서 벗어나 자유롭게 비상하고 싶다. 강인한 날개를 펼치며, 그들은 진정한 삶을 찾을 수 있을까.",1,0
66,신입사관 구해령,"신부 수업도 싫다, 혼인도 싫다. 뼛속까지 자유로운 조선 여인 구해령. 그녀가 자신의 운명을 스스로 개척하기 위해 궁으로 들어간다. 조선 최초의 여사관이 된다.",1,0
67,아름다운 세상,"소박하고 평온한 일상을 보내던 가족에게 비극이 닥친다. 중3 아들이 학교 옥상에서 떨어져 혼수상태에 빠진 것. 억장이 무너지는 부모에겐 모든 게 의심스럽지만, 경찰도 학교도 우호적이지 않은 상황. 감춰진 진실을 반드시 밝혀내야 한다.",1,0
68,화유기,"천상천하 유아독존! 세상 혼자 잘난 요괴 손오공과 요괴 중의 요괴 우마왕이 맞붙는다. 여기에 요괴를 보는 여인 삼장까지. 운명을 걸어라, 암흑의 세상에서 빛을 찾아라!",1,0
69,구경이,경찰 출신의 보험조사관 구경이. 바깥세상과 단절된 채 지내던 그녀가 세상에 나와 연쇄 살인마를 쫓기 시작한다. 완벽하게 사고로 위장된 사건. 범인은 우리 주변에 있다!,1,0
70,"그 겨울, 바람이 분다","여자, 술, 포커가 인생의 전부인 사기꾼. 시각장애를 가진 재벌가 상속녀에게 접근해 한몫 챙길 심산이다. 하지만 자기를 닮은 그녀의 모습에 미묘한 감정을 느끼고, 계획에서 멀어지기 시작한다. 자신의 목숨이 걸린 일이란 것도 잊은 채.",1,0
71,루갈,테러 집단 아르고스에 모든 것을 빼앗긴 사람들. 생명공학 기술로 다시 태어난 그들이 특수 조직 루갈에 모인다. 눈물은 오래전에 말라버렸다. 이제는 복수를 위해 산다.,1,0
72,왕이 된 남자,암살 위협으로 광기와 두려움에 사로잡힌 조선의 임금. 자신을 쏙 빼닮은 광대 하선에게 왕의 대역을 맡으라 명한다. 권력 다툼의 소용돌이에 휘말려 가짜 왕 노릇을 하게 된 광대의 이야기.,1,0
73,변혁의 사랑,"취미는 시 암송, 세상이 꽃밭인 재벌 3세 변혁 앞에 운명의 여인 백준이 나타났다! 고학력, 고스펙으로 알바계를 평정한 백준과 변혁 사고 처리 전담반 엘리트 제훈까지. 두 사람과 함께하면서 변혁이 미처 알지 못했던 세상이 펼쳐진다.",1,0
74,사의 찬미,"그는 그녀의 노래였고, 그녀는 그의 시였다. 일제강점기의 어두운 조국, 서로의 심연을 알아본 두 사람. 극작가 김우진과 성악가 윤심덕은 운명적인 사랑에 빠져든다.",1,0
75,엽기적인 그녀,조선 시대에도 ‘엽기적인 그녀’가 있었다? 공주 신분에 월담과 외박을 일삼고 욱하는 성격에 불의를 보면 주먹질은 기본. 그런 그녀의 엽기적 행각에 걸려든 남자가 있었으니 까칠한 도성 남자. 두 사람의 엽기발랄 연애담이 시작된다.,1,0
76,월간집,세상에서 가장 마음 편히 쉴 수 있는 공간. 영원은 집에서 산다. 세상에서 가장 돈이 되는 수단. 자성은 집을 산다. 집에 대한 가치관이 너무도 다른 두 남녀의 내 집 마련 로맨스.,1,0
77,일단 뜨겁게 청소하라,"청결에 죽고 사는 청소업체 CEO 남자. 청결이 먹는 건지 입는 건지 관심 없는 취준생 여자. 물과 기름 같은 둘이 만나 옥신각신하더니 어라, 달달한 기운이? 남자가 결벽증을 버리려나, 여자가 더러움을 벗으려나? 궁금하다, 궁금해!",1,0
78,그냥 사랑하는 사이,"건물 붕괴 사고에서 살아남은 후, 상실의 고통을 극복하려는 남녀. 더 나은 미래를 향해 나아가는 한편, 서로에게서 지지를 얻고 사랑을 찾는다. 언젠가 우리도 다시 행복해질 수 있을까.",1,0
79,청춘기록,어쩌다 이렇게 됐냐고? 내가 어때서! 배우와 메이크업 아티스트라는 꿈을 좇는 청춘들. 삶은 고달프고 팍팍하지만 당차게 세상과 맞선다. 꿈과 사랑을 모두 쟁취하기 위해.,1,0
80,신데렐라와 네 명의 기사,"집에서는 새엄마와 의붓언니한테 시달리고, 밖에선 갖가지 알바를 뛰며 등록금 벌기 바쁜 하원. 씩씩한 성격 덕에 재벌 회장의 눈에 들어 인간 개조 프로젝트를 맡게 된다. 틈만 나면 지지고 볶는 재벌가 손자 셋을 인간으로 만들어라!",1,0
81,바벨,오직 가족의 복수라는 목표를 위해 검사가 된 남자. 배우에서 재벌가 며느리가 되었지만 불행한 삶을 사는 여자. 두 남녀의 운명 같은 사랑과 탐욕스러운 재벌가의 암투를 그린 미스터리 격정 멜로 드라마.,1,0
82,아름다웠던 우리에게,"사랑, 달콤할 거라 믿었는데. 사랑, 뭐 이리 어렵기만 한 걸까. 그래도 끝까지 친구로 남고 싶진 않은데. 옆집 소년을 마음에 품은 10대 소녀. 그 첫사랑의 나날 속으로.",1,0
83,알함브라 궁전의 추억,"저돌적인 투자회사 대표 진우. 익명의 AR 게임 개발자를 찾던 그는 그라나다까지 온다. 그곳에서 호스텔을 운영하는 희주. 둘이 만난 순간, 마법 같은 이야기가 시작된다.",1,0
84,바람이 분다,"얼굴만 봐도 행복했던 그 시절은 가고, 이제 서로에게 까칠해진 부부. 알츠하이머 진단을 받은 남편은 아내를 그만 놓아주기로 한다. 이유는 알리지도 않은 채. 그리고 몇 년 후, 우연히 만난 두 사람은 다른 빛깔의 사랑을 시작한다.",1,0
85,첫사랑은 처음이라서,"스무 살 독립, 문란해질 준비는 끝났다. 화끈한 로맨스를 꿈꾸는 태오. 하지만 친구들이 각자의 사정으로 집에 쳐들어오면서, 기대하지 않았던 좌충우돌 동거가 시작된다.",1,0
86,마음의소리,"개성 만점인 식구들 덕에 하루도 조용할 날이 없는 조석네 가족. 남들은 평범하게 잘만 지내던데, 왜 우리 집에는 늘 별난 일이 일어나는 거야? 서울특별시 은평구 연신내. 오늘도 예측 불가한 하루가 시작된다!",1,0
87,경우의 수,"고등학교 때 만난 우연과 수. 우연은 수를 10년간 짝사랑하며 두 번이나 고백했건만 번번이 차였다. 수 따윈 완전히 잊겠다 하지만, 그게 말처럼 쉬울 리가. 그런데 수도 우연을 좋아하고 있었다면? 두 사람, 10년 동안 삽질한 거야?",1,0
88,오 마이 베이비,열심히 일하며 정신없이 살다 보니 10년째 솔로에 마흔이 코앞. '미혼'이라는 꼬리표가 지긋지긋하지만 급한 건 결혼이 아니라 임신이다. 남자는 포기해도 아이는 포기 못 하는 39세 장하리. 이제 결혼은 패스하고 아이만 갖는 걸로!,1,0
89,으라차차 와이키키2,운도 지지리 없는 청춘. 똘기로 똘똘 뭉친 청춘. 제대로(?) 빌빌대는 청춘. 세 청춘이 폭망 직전의 게스트하우스에서 이보다 골 때릴 수 없는 이야기를 엮어낸다. 포복절도의 끝판왕을 경험하고 싶다면? 게스트하우스 와이키키로 오세요!,1,0
90,그녀의 사생활,"부모로부터 덕후 DNA를 물려받았다고 믿는 성덕미. 그녀의 덕후 역사는 길고 화려했다. 미술관 큐레이터 일과 아이돌 덕후로서의 이중생활에 전혀 소홀함이 없었는데 그녀의 덕질 인생에 한 남자가 들어왔다. 이 감정, 덕후 습관일 뿐일까?",1,0
91,결혼백서,연애의 행복한 결말은 프러포즈 아니던가. 하지만 이 커플에게 프러포즈는 끝이 아닌 시작. 결혼 준비라는 힘겨운 전쟁의 서막이었다.,1,0
92,나빌레라,"이대로 주저앉지 않으리. 꿈을 가진 일흔 노인과 재능을 가진 스물셋 청년. 냉혹한 현실을 밟고 일어선다, 서로를 일으킨다. 그들은 발레리노가 되어 날아오를 수 있을까?",1,0
93,빙의,"영매의 능력을 감추고 살아가는 서정. 그녀는 남다른 영적 기운을 지닌 형사 필성을 만난다. 우연일까 운명일까. 과거의 악몽이 부활하면서, 둘은 필연적 공조를 시작한다.",1,0
94,보건교사 안은영,언뜻 보면 모두가 행복한 고등학교다. 그녀의 눈에만 보이는 찐득한 젤리와 악귀만 없다면. 학생들을 지키기 위해 플라스틱 칼을 든 보건교사 안은영. 오늘도 해치워 버려!,1,0
95,내성적인 보스,"뒤집어쓴 후드에, 굳게 닫힌 사무실 문. 여기 너무 내성적이어서 직원 얼굴도 못 쳐다본다는 회사 대표가 있다. 하지만 그의 은둔 생활은 지속될 수 없었으니. 닫힌 문은 열어 봐야 직성이 풀리는 여자. 붙임성 갑인 그녀가 입사했다!",1,0
96,불야성,"냉혹한 상속녀 이경, 그녀를 사랑한 남자 건우, 이경이 되고 싶은 여자 세진. ‘권력과 금력의 용광로’ 속으로 부나비처럼 뛰어드는 세 남녀의 이야기가 펼쳐진다.",1,0
97,너를 닮은 사람,"성공한 화가가 되어 남부럽지 않은 인생을 사는 여자. 그리고 그 여자와의 만남으로, 찬란했던 삶의 빛을 잃은 여자. 이 두 여자가 다시 만난 순간, 모든 것이 뒤틀리기 시작한다.",1,0
98,리갈하이,돈 앞에서는 양심도 체면도 없는 승소율 100%의 고참 변호사. 그리고 정의감으로 똘똘 뭉친 허당기 만빵의 신참 변호사. 극과 극의 두 변호사가 때론 유쾌하고 때론 살벌한 케미를 만들어 간다. 동명의 일본 드라마를 리메이크한 작품.,1,0
99,"멈추고 싶은 순간 : 
어바웃 타임","100여 일 남은 자신의 수명 시계를 지켜볼 수밖에 없는 여자. 그 시계를 멈추게도, 거꾸로 가게도 할 수 있는 남자. 우연한 만남으로 시작된 두 사람의 사랑은 운명을 이겨낼 수 있을까. 붙잡아 두고픈 사랑의 순간을 그려낸 로맨스.",1,0
100,마성의 기쁨,"뇌를 다쳐 자고 나면 어제 일이 기억나지 않는 남자. 하루아침에 국민 첫사랑에서 100만 안티 연예인으로 전락한 여자. 모든 게 바뀌어 버린 그 날 이후, 3년 만에 다시 만난 두 사람. 이건 운명의 장난일까, 신이 내린 선물일까.",1,0
101,아르곤,"국민 앵커 김백진, 그가 진두지휘하는 탐사보도팀 아르곤, 여기 투입된 계약직 기자 연화. 뒤틀린 구조 속에서도 진실을 찾는 기자들의 피땀 눈물이 생생하게 그려진다.",1,0
102,봄날은 간다,사운드 엔지니어 상우와 라디오 PD 은수는 지금 이별 중이다. 어떻게 사랑이 변하냐고 묻는 상우에게 단호히 헤어지자는 은수. 계절처럼 이들의 사랑도 변하고 있다. 겨울 뒤에 찾아온 봄날도 언젠가 가야 하는 것처럼.,1,0
103,내일 지구가 망해버렸으면 좋겠어,"국적, 다 다르다. 성격, 제각각이다. 외국인 학생들이 모인 한국의 한 대학 국제 기숙사. 이곳에서 그들은 우정을 쌓고, 사랑에 들뜨고, 세상을 배운다. 대부분 엉망진창 뒤죽박죽이지만?",1,0
104,조선혼담공작소 꽃파당,조선에도 매파가 있었다. 그것도 어엿한 양반집 자제 매파가! 여인들의 눈길을 사로잡는 외모와 타의 추종을 불허하는 성혼율. 매파 중에서도 제일 잘나가는 그에게 골치 아픈 일이 생겼으니. 대장장이 이수가 혼례를 앞두고 사라져 버린 것.,1,0
105,"우리, 사랑했을까",나쁜데 끌려. 잘났는데 짠해. 어린데 설레. 무서운데 섹시해. 뭔 소리냐고? 되는 일 하나 없던 14년 차 싱글맘에게 4명의 남자가 나타났단 말씀. 로맨스를 기대해 보자고.,1,0
106,도시괴담,"도시에 사는가? 그렇다면 도시괴담 하나 정도는 들어봤을 터. 평범한 일상에서 뭔가를 봤다는 이야기. 하지만 누구도 직접 본 적은 없다. 목격했다면 이미 이 세상 사람이 아닐지니. 볼 수 없는 것을 눈으로 확인할 기회, 지금뿐이다.",1,0
107,악몽선생,새로운 선생님이 부임한 뒤로 학생들의 꿈이 현실로 나타나기 시작한다. 반장인 예림은 너무 늦기 전에 이 악몽 같은 미스터리를 풀어야 한다.,1,0
108,하트가 빛나는 순간,이름과는 달리 존재감 제로의 고등학생 빛나라. 모두의 이목이 쏠린 웹 예능 '고하트'에 덜컥 도전장을 내밀긴 했는데... 뭘 해야 하트 수 1위가 될 수 있을까?,1,0
